Symbol,Volume_mean,Volume_std,Volume_Change_perc,Volume_Change_std,Close_Change_perc_mean,Close_Change_perc_std,Adj_Close_Change_perc_mean,Adj_Close_Change_perc_std,first_close_price,last_close_price,first_trade_date,last_trade_date,Sector,Industry,Volatility
a,3384697.952694907,2410604.663292,9.322874047477743,54.761335,0.0586969811086128,2.632186,0.0614040918869927,2.631886,31.473533630371094,139.02999877929688,1999-11-18,2023-12-29,Industrials,Electrical Products,0.41784657362795163
aa,2866906.322012176,4396697.19442,19.51489776089464,113.828217,0.0374992887828704,2.320692,0.0468828010189742,2.320417,6.5456719398498535,34.0,1962-01-02,2023-12-29,Industrials,Aluminum,0.36839843409462647
aaic,156402.5707070707,243534.299461,37.54594711495485,469.868027,0.0338992541926571,4.609884,0.060459421314609,4.596746,410.0,4.840000152587891,1997-12-23,2023-12-13,Real Estate,Real Estate Investment Trusts,0.7317963982113408
aap,1212926.4975715056,1044195.237261,14.421143255487587,85.815381,0.0500816571256643,2.14693,0.052404395358303,2.146623,13.880000114440918,61.02999877929688,2001-11-29,2023-12-29,Consumer Discretionary,Auto & Home Supply Stores,0.34081457173583407
aat,261463.4886572655,359332.20912,17.293528474394357,86.581915,0.0182565944776838,1.804355,0.0311695848177096,1.801516,21.25,22.51000022888184,2011-01-13,2023-12-29,Real Estate,Real Estate Investment Trusts,0.2864324764125569
ab,261537.05967329704,234905.1164,17.725267374305403,99.913654,0.0522061748087812,2.206392,0.0812776416266712,2.194713,2.53125,31.030000686645508,1988-04-14,2023-12-29,Finance,Investment Managers,0.3502538716033455
abbv,7552461.235549133,5117515.704904,8.56890834044091,61.060634,0.0678909931892118,1.680795,0.0839985818181349,1.67371,35.119998931884766,154.97000122070312,2013-01-02,2023-12-29,Health Care,Biotechnology: Pharmaceutical Preparations,0.2668179344928486
abev,10822371.918479323,13699822.099374,111.364651500196,835.622856,0.0705268942604625,2.615262,0.0865886881856564,2.61499,0.449999988079071,2.799999952316284,1997-03-05,2023-12-29,Consumer Staples,Beverages (Production/Distribution),0.4151599719166442
abg,258164.69086266644,226521.19455,18.024049438526085,95.218798,0.1020877781428645,3.271455,0.1038686964475813,3.269103,15.550000190734863,224.97000122070312,2002-03-21,2023-12-29,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,0.5193273813203286
abm,181486.0598345003,241555.786108,88.70812677991997,1577.651563,0.0534196735554341,1.907842,0.0622335497834539,1.907701,0.9333329796791076,44.83000183105469,1980-03-17,2023-12-29,Finance,Diversified Commercial Services,0.30286052836824545
abr,723970.2436078115,1418962.755972,27.901926101691505,188.744604,0.0488529517756131,3.332429,0.0797544530470349,3.320821,20.5,15.18000030517578,2004-04-07,2023-12-29,Real Estate,Real Estate Investment Trusts,0.5290067037467797
abt,8038879.462276967,5491046.244943,9.875165030706524,57.36252,0.0618137377272276,1.609471,0.0700321902649163,1.60788,0.501505970954895,110.06999969482422,1980-03-17,2023-12-29,Health Care,Biotechnology: Pharmaceutical Preparations,0.2554956005022263
ac,14093.422189494357,25369.703328,45.2134435564833,325.353322,0.0453693396457405,2.60741,0.0475583786127687,2.607351,27.572139739990234,35.709999084472656,2015-11-10,2023-12-29,Finance,Investment Bankers/Brokers/Service,0.41391350555897544
aca,286958.10185185185,254136.129354,15.293743307335903,78.465451,0.1153149001172643,2.648272,0.1169617390786837,2.648524,29.1299991607666,82.63999938964844,2018-11-05,2023-12-29,Industrials,Metal Fabrications,0.42040014696333877
acco,586055.6660899654,466902.961447,13.888783329872377,78.399588,0.0412613199964316,3.882986,0.0461265013483817,3.883173,24.86000061035156,6.079999923706055,2005-08-17,2023-12-29,Consumer Discretionary,Publishing,0.616404918020727
acel,255690.9784871617,370429.986152,6944.734270315277,182395.49834,0.0376114307666383,2.617827,0.0376114307666383,2.617827,9.800000190734863,10.270000457763672,2017-08-24,2023-12-29,Consumer Discretionary,Services-Misc. Amusement & Recreation,0.41556715304341707
acm,1008465.0596658712,783375.078487,11.814461382430174,71.817214,0.0620500797431729,2.308243,0.0624540779981464,2.308195,21.100000381469727,92.43000030517578,2007-05-10,2023-12-29,Consumer Discretionary,Military/Government/Technical,0.36642221661033986
